review_id,product_category,product_name,user_id,review_title,review_text,rating,verified_purchase,helpful_votes,sentiment
796,Beauty,Shampoo,U3429,Terrible,The Shampoo stopped working after a week.,3,No,42,Neutral
933,Electronics,Laptop,U2676,Terrible,"The Laptop works okay, but could be better.",1,No,46,Negative
1347,Beauty,Perfume,U8225,Not good,Decent Perfume for the price point.,2,Yes,8,Negative
1422,,Jacket,U6400,Loved it,"The Jacket works okay, but could be better.",1,No,45,Negative
1264,Beauty,Lipstick,,Great!,Decent Lipstick for the price point.,3,Yes,22,Neutral
822,Beauty,Lipstick,U9050,Not good,"Not worth the money, poor quality Lipstick.",3,Yes,25,Neutral
625,Beauty,,U8500,Terrible,"The Shampoo is amazing, I love it!",5,No,8,Positive
532,Home & Kitchen,Air Fryer,U4157,Loved it,"The Air Fryer works okay, but could be better.",1,Yes,26,
1105,Electronics,Smartwatch,U2610,Terrible,"The Smartwatch is amazing, I love it!",3,Yes,10,Neutral
1463,Books,Children's Story,U7243,Okay,Really disappointed with the Children's Story.,2,No,30,Negative
1440,Beauty,Shampoo,U3553,Not good,The Shampoo stopped working after a week.,4,Yes,38,Positive
20,,Blender,U2560,Not good,I use this Blender every day and it’s fantastic.,5,No,46,Positive
,Home & Kitchen,Coffee Maker,U3684,,"Not worth the money, poor quality Coffee Maker.",2,Yes,48,Negative
1324,Fashion,Handbag,U9233,Okay,The Handbag stopped working after a week.,4,No,37,Positive
546,Books,Biography,U3567,Okay,Exceeded my expectations! Great Biography.,1,Yes,9,Negative
578,Books,Biography,U6238,Great!,"The Biography works okay, but could be better.",1,Yes,39,Negative
715,Books,Fiction Novel,U4232,Not good,The Fiction Novel stopped working after a week.,2,No,0,Negative
821,,Jeans,U1852,Loved it,Exceeded my expectations! Great Jeans.,1,Yes,9,Negative
1398,Fashion,T-shirt,U9100,Loved it,Exceeded my expectations! Great T-shirt.,3,Yes,49,Neutral
192,Books,Self-help Book,U6816,Terrible,The Self-help Book stopped working after a week.,1,No,40,Negative
510,Home & Kitchen,Coffee Maker,U9641,Terrible,Really disappointed with the Coffee Maker.,5,No,20,Positive
189,Home & Kitchen,Microwave Oven,U7210,Terrible,Exceeded my expectations! Great Microwave Oven.,,Yes,,Positive
,Home & Kitchen,Coffee Maker,U1283,Great!,Exceeded my expectations! Great Coffee Maker.,3,Yes,46,Neutral
614,Fashion,,U4897,Terrible,"Not worth the money, poor quality Jacket.",3,No,17,
715,Books,Fiction Novel,U4232,,The Fiction Novel stopped working after a week.,2,No,0,Negative
170,Home & Kitchen,,,,"The Air Fryer works okay, but could be better.",2,No,47,Negative
1453,Fashion,Jacket,U7605,Loved it,Exceeded my expectations! Great Jacket.,2,Yes,15,Negative
796,Beauty,,U3429,Terrible,The Shampoo stopped working after a week.,3,No,,Neutral
1205,Books,Fiction Novel,U8276,Loved it,I use this Fiction Novel every day and it’s fantastic.,2,No,4,Negative
1397,Home & Kitchen,Microwave Oven,U5107,Terrible,,3,Yes,40,
213,Fashion,T-shirt,U9976,Terrible,"The T-shirt is amazing, I love it!",4,No,26,Positive
1179,Books,Children's Story,U1353,Loved it,"Not worth the money, poor quality Children's Story.",3,Yes,34,Neutral
,,,U6238,Great!,"The Biography works okay, but could be better.",1,,39,Negative
1154,Electronics,Smartphone,U7737,Great!,"The Smartphone is amazing, I love it!",3,Yes,42,Neutral
954,Books,Fiction Novel,U8736,Great!,The Fiction Novel stopped working after a week.,3,No,34,Neutral
697,Electronics,Smartphone,U5865,Not good,The Smartphone stopped working after a week.,5,Yes,25,Positive
882,Electronics,Wireless Headphones,U9730,Okay,The Wireless Headphones stopped working after a week.,2,Yes,21,Negative
596,Electronics,Wireless Headphones,U9361,Great!,"The Wireless Headphones is amazing, I love it!",3,Yes,1,Neutral
411,Home & Kitchen,Microwave Oven,U7883,Not good,Exceeded my expectations! Great Microwave Oven.,2,No,6,Negative
541,Fashion,T-shirt,U7884,Not good,Decent T-shirt for the price point.,2,No,23,Negative
1155,Beauty,Hair Dryer,U8171,Okay,I use this Hair Dryer every day and it’s fantastic.,5,Yes,48,Positive
34,Fashion,,U9069,Terrible,Really disappointed with the Jeans.,3,No,17,Neutral
1461,Beauty,Hair Dryer,U8506,Great!,The Hair Dryer stopped working after a week.,1,No,50,Negative
590,Fashion,Jacket,U4220,Loved it,The Jacket stopped working after a week.,4,Yes,31,Positive
100,Beauty,Shampoo,U4637,Great!,Decent Shampoo for the price point.,4,No,43,Positive
1352,Fashion,Sneakers,U9006,Loved it,Exceeded my expectations! Great Sneakers.,3,No,35,Neutral
1237,Beauty,Hair Dryer,U9015,Terrible,Decent Hair Dryer for the price point.,,No,0,Neutral
1124,Fashion,Handbag,U3832,Great!,The Handbag stopped working after a week.,2,Yes,20,Negative
1096,Books,Biography,U6626,Terrible,"The Biography is amazing, I love it!",3,No,45,Neutral
91,Electronics,Bluetooth Speaker,U3934,Great!,I use this Bluetooth Speaker every day and it’s fantastic.,4,No,7,Positive
684,Fashion,Handbag,U2037,Loved it,Exceeded my expectations! Great Handbag.,1,,18,Negative
176,Electronics,Laptop,U1051,Great!,"The Laptop is amazing, I love it!",2,Yes,35,Negative
512,Electronics,Smartphone,U1761,Great!,"The Smartphone works okay, but could be better.",5,No,6,Positive
361,Beauty,Lipstick,U5633,Great!,Really disappointed with the Lipstick.,4,No,15,Positive
792,Electronics,Smartwatch,U6369,Terrible,Really disappointed with the Smartwatch.,4,No,4,Positive
3,Electronics,Laptop,U9695,Okay,The Laptop stopped working after a week.,1,No,27,Negative
6,Books,Cookbook,U8981,Great!,Decent Cookbook for the price point.,3,No,19,Neutral
317,Home & Kitchen,Blender,U7839,Okay,Exceeded my expectations! Great Blender.,4,Yes,10,Positive
854,Fashion,T-shirt,U8970,Loved it,Decent T-shirt for the price point.,4,Yes,49,Positive
271,,Vacuum Cleaner,U9278,Okay,Really disappointed with the Vacuum Cleaner.,5,Yes,41,Positive
1437,Electronics,Smartwatch,U6464,Terrible,I use this Smartwatch every day and it’s fantastic.,4,,0,Positive
928,Books,Self-help Book,U1664,Terrible,I use this Self-help Book every day and it’s fantastic.,1,,31,Negative
543,Home & Kitchen,Microwave Oven,U2829,Great!,I use this Microwave Oven every day and it’s fantastic.,4,No,14,
901,Books,Children's Story,U6953,Great!,Decent Children's Story for the price point.,2,No,47,Negative
1338,,Lipstick,U5199,Great!,"Not worth the money, poor quality Lipstick.",2,Yes,12,Negative
183,Beauty,Face Cream,U8456,Great!,I use this Face Cream every day and it’s fantastic.,2,No,13,Negative
35,Electronics,Bluetooth Speaker,U7802,Terrible,"Not worth the money, poor quality Bluetooth Speaker.",,Yes,40,Positive
1271,Home & Kitchen,Air Fryer,U2847,Not good,Exceeded my expectations! Great Air Fryer.,5,No,42,Positive
1013,Home & Kitchen,,U7246,Terrible,Really disappointed with the Microwave Oven.,3,No,24,Neutral
368,Fashion,Sneakers,U9265,Not good,Exceeded my expectations! Great Sneakers.,5,Yes,23,Positive
1410,,Shampoo,U6887,Not good,I use this Shampoo every day and it’s fantastic.,3,Yes,21,Neutral
660,Beauty,Perfume,U5177,Terrible,The Perfume stopped working after a week.,5,No,13,Positive
522,Fashion,Sneakers,U4466,Loved it,The Sneakers stopped working after a week.,5,No,3,Positive
340,Beauty,Hair Dryer,U6934,Not good,I use this Hair Dryer every day and it’s fantastic.,3,Yes,12,Neutral
272,Electronics,Smartphone,U5039,Okay,Really disappointed with the Smartphone.,1,No,36,Negative
1303,Electronics,Smartwatch,U2371,Okay,"Not worth the money, poor quality Smartwatch.",3,Yes,5,Neutral
903,Home & Kitchen,Coffee Maker,,Not good,Decent Coffee Maker for the price point.,1,No,29,
528,Fashion,Jeans,U9374,Terrible,The Jeans stopped working after a week.,3,Yes,29,Neutral
173,Home & Kitchen,,U7205,Okay,Exceeded my expectations! Great Air Fryer.,1,Yes,21,Negative
382,Electronics,Wireless Headphones,U6494,Terrible,The Wireless Headphones stopped working after a week.,2,Yes,5,Negative
607,Books,Cookbook,U8095,Not good,,2,Yes,47,Negative
1261,Beauty,Shampoo,U8061,Terrible,Really disappointed with the Shampoo.,3,Yes,32,Neutral
673,Electronics,Laptop,U4634,Great!,"The Laptop is amazing, I love it!",1,Yes,46,Negative
901,Books,Children's Story,U6953,Great!,Decent Children's Story for the price point.,2,No,47,
782,Electronics,Wireless Headphones,U6961,Loved it,Really disappointed with the Wireless Headphones.,1,No,26,Negative
378,Electronics,,U9671,Great!,I use this Smartphone every day and it’s fantastic.,,Yes,6,Positive
448,Electronics,Bluetooth Speaker,U3817,Okay,"The Bluetooth Speaker works okay, but could be better.",4,No,29,Positive
827,Fashion,,U4912,Loved it,Decent Sneakers for the price point.,5,No,49,Positive
531,Books,Children's Story,U4742,Great!,Exceeded my expectations! Great Children's Story.,3,Yes,17,Neutral
1133,Home & Kitchen,Microwave Oven,U4786,Okay,Exceeded my expectations! Great Microwave Oven.,4,Yes,21,Positive
484,Fashion,T-shirt,U4012,,Exceeded my expectations! Great T-shirt.,4,No,15,Positive
1462,Home & Kitchen,Coffee Maker,U5624,Not good,,2,,35,Negative
20,Home & Kitchen,Blender,U2560,Not good,I use this Blender every day and it’s fantastic.,5,No,46,Positive
,Beauty,Face Cream,U5089,Terrible,Really disappointed with the Face Cream.,2,Yes,9,Negative
179,Books,,U8784,Terrible,,5,Yes,36,
726,Beauty,Lipstick,U1534,Not good,Really disappointed with the Lipstick.,3,No,20,Neutral
630,Books,Cookbook,,,Really disappointed with the Cookbook.,1,No,43,Negative
737,Books,Fiction Novel,U1273,Loved it,I use this Fiction Novel every day and it’s fantastic.,5,No,43,Positive
315,Books,Children's Story,U5359,Loved it,Decent Children's Story for the price point.,2,Yes,47,Negative
754,Electronics,Smartwatch,U9371,Loved it,"Not worth the money, poor quality Smartwatch.",2,Yes,18,Negative
1330,Books,Fiction Novel,U4450,Terrible,Exceeded my expectations! Great Fiction Novel.,5,No,25,Positive
1381,Electronics,Bluetooth Speaker,U4784,Okay,,1,No,48,
491,Home & Kitchen,Blender,U8677,Loved it,I use this Blender every day and it’s fantastic.,5,No,47,Positive
1214,Books,Fiction Novel,U1375,Terrible,Decent Fiction Novel for the price point.,2,No,42,Negative
214,Fashion,Jacket,U1116,Great!,Decent Jacket for the price point.,1,No,12,Negative
1047,Books,Fiction Novel,U3845,Okay,"The Fiction Novel works okay, but could be better.",,No,11,Negative
1191,Electronics,Smartphone,U3068,Loved it,"The Smartphone works okay, but could be better.",3,No,10,Neutral
901,Books,Children's Story,U6953,,Decent Children's Story for the price point.,2,No,47,Negative
896,Books,Cookbook,U6248,Terrible,"The Cookbook is amazing, I love it!",2,No,36,Negative
1373,Home & Kitchen,Air Fryer,U6810,Not good,"Not worth the money, poor quality Air Fryer.",2,No,43,Negative
535,Beauty,Face Cream,U7710,Not good,,5,Yes,11,Positive
596,Electronics,Wireless Headphones,U9361,Great!,"The Wireless Headphones is amazing, I love it!",3,Yes,1,
490,Fashion,T-shirt,U4573,Great!,The T-shirt stopped working after a week.,5,Yes,13,Positive
420,Electronics,Bluetooth Speaker,U5857,Not good,I use this Bluetooth Speaker every day and it’s fantastic.,3,Yes,12,Neutral
1233,,Laptop,U1925,Loved it,"The Laptop works okay, but could be better.",5,Yes,46,Positive
1433,Home & Kitchen,Microwave Oven,U3693,Not good,"The Microwave Oven is amazing, I love it!",2,Yes,4,Negative
1067,Home & Kitchen,Vacuum Cleaner,U3632,Great!,Exceeded my expectations! Great Vacuum Cleaner.,3,No,34,Neutral
1475,Fashion,Jacket,U8719,,I use this Jacket every day and it’s fantastic.,3,Yes,2,Neutral
261,Fashion,Jacket,U7770,Great!,Decent Jacket for the price point.,1,No,1,
429,,T-shirt,U9285,Great!,"The T-shirt works okay, but could be better.",4,Yes,42,Positive
252,Fashion,T-shirt,U4071,Loved it,"The T-shirt is amazing, I love it!",4,No,31,Positive
1449,,Perfume,U2245,Terrible,"The Perfume works okay, but could be better.",1,No,10,Negative
1122,,,U2407,Loved it,"Not worth the money, poor quality Sneakers.",1,No,43,Negative
1235,Books,Children's Story,U3588,Great!,The Children's Story stopped working after a week.,5,No,45,Positive
324,Beauty,Face Cream,U1994,Great!,"The Face Cream works okay, but could be better.",2,No,7,Negative
347,Fashion,Jeans,U4670,Loved it,,1,Yes,,Negative
336,Books,Self-help Book,U3760,Loved it,"The Self-help Book is amazing, I love it!",3,Yes,22,Neutral
450,Books,Cookbook,U4201,Okay,The Cookbook stopped working after a week.,,,49,Positive
64,Home & Kitchen,Microwave Oven,U5319,Not good,"The Microwave Oven is amazing, I love it!",1,No,42,Negative
609,,Wireless Headphones,U6567,Great!,Really disappointed with the Wireless Headphones.,2,Yes,,Negative
682,,Handbag,U3018,Great!,Exceeded my expectations! Great Handbag.,1,No,27,Negative
241,Home & Kitchen,Blender,U1474,,,5,No,10,Positive
15,Home & Kitchen,Coffee Maker,U9192,Terrible,"The Coffee Maker works okay, but could be better.",2,Yes,7,Negative
1197,Home & Kitchen,Blender,U9669,Terrible,I use this Blender every day and it’s fantastic.,3,Yes,50,Neutral
1436,Electronics,Smartphone,U1967,Terrible,"The Smartphone works okay, but could be better.",3,No,31,Neutral
340,Beauty,Hair Dryer,U6934,Not good,I use this Hair Dryer every day and it’s fantastic.,3,Yes,,Neutral
1078,Electronics,Smartwatch,U6464,Great!,"The Smartwatch works okay, but could be better.",5,Yes,,Positive
103,Home & Kitchen,Blender,U8029,Not good,,,Yes,23,Positive
559,Books,Fiction Novel,U3376,Okay,"Not worth the money, poor quality Fiction Novel.",5,No,9,Positive
507,Electronics,Bluetooth Speaker,U7372,Not good,I use this Bluetooth Speaker every day and it’s fantastic.,5,No,16,Positive
1059,Fashion,T-shirt,U2846,Okay,"The T-shirt works okay, but could be better.",5,No,27,Positive
441,Beauty,Lipstick,U9431,Okay,"Not worth the money, poor quality Lipstick.",5,No,49,Positive
1218,Books,Children's Story,U7308,Not good,"Not worth the money, poor quality Children's Story.",4,Yes,30,Positive
1178,Books,Biography,,Okay,I use this Biography every day and it’s fantastic.,4,No,14,Positive
564,Fashion,Handbag,U6631,Terrible,Really disappointed with the Handbag.,2,No,32,Negative
1025,Beauty,Perfume,U5512,Great!,Exceeded my expectations! Great Perfume.,3,Yes,31,Neutral
913,Electronics,Laptop,U9582,Okay,"Not worth the money, poor quality Laptop.",1,Yes,0,Negative
1210,Beauty,Lipstick,U4527,Not good,"The Lipstick works okay, but could be better.",3,Yes,0,Neutral
1464,Electronics,Wireless Headphones,,Loved it,"Not worth the money, poor quality Wireless Headphones.",5,No,41,Positive
1051,Home & Kitchen,Coffee Maker,U1566,Great!,Exceeded my expectations! Great Coffee Maker.,4,Yes,9,Positive
67,Books,Self-help Book,U6826,Loved it,Really disappointed with the Self-help Book.,2,No,31,Negative
172,Books,Cookbook,U1735,Okay,I use this Cookbook every day and it’s fantastic.,5,No,37,Positive
1478,Home & Kitchen,Air Fryer,,,,,No,43,Positive
1413,Books,Fiction Novel,,,"The Fiction Novel works okay, but could be better.",1,Yes,26,Negative
206,Home & Kitchen,Coffee Maker,U1913,Terrible,"The Coffee Maker is amazing, I love it!",4,Yes,7,Positive
1301,Fashion,Handbag,U4501,Loved it,"Not worth the money, poor quality Handbag.",5,No,6,Positive
388,Electronics,Smartwatch,U4161,Okay,The Smartwatch stopped working after a week.,1,No,17,Negative
184,Beauty,Face Cream,U1764,Terrible,The Face Cream stopped working after a week.,2,No,48,Negative
600,Beauty,Hair Dryer,U5463,Loved it,,2,Yes,0,Negative
1426,Home & Kitchen,Blender,U3038,Great!,I use this Blender every day and it’s fantastic.,4,Yes,0,Positive
447,Books,Biography,U2314,Terrible,Really disappointed with the Biography.,5,Yes,26,Positive
524,Beauty,Lipstick,U9358,Okay,The Lipstick stopped working after a week.,2,No,26,Negative
828,Home & Kitchen,Blender,U1159,Not good,"The Blender works okay, but could be better.",3,No,19,Neutral
160,Beauty,Shampoo,U1483,Great!,"Not worth the money, poor quality Shampoo.",4,No,6,Positive
495,Home & Kitchen,Blender,U4757,Great!,Really disappointed with the Blender.,1,No,14,Negative
1169,Home & Kitchen,Microwave Oven,U7013,Not good,"The Microwave Oven is amazing, I love it!",3,Yes,20,Neutral
950,Beauty,Shampoo,U3661,Okay,The Shampoo stopped working after a week.,5,Yes,9,Positive
1308,Home & Kitchen,Vacuum Cleaner,U4855,Loved it,Really disappointed with the Vacuum Cleaner.,3,No,25,Neutral
270,Electronics,Laptop,U5624,Loved it,I use this Laptop every day and it’s fantastic.,1,Yes,11,Negative
64,,Microwave Oven,U5319,,"The Microwave Oven is amazing, I love it!",1,No,42,Negative
206,Home & Kitchen,Coffee Maker,U1913,Terrible,"The Coffee Maker is amazing, I love it!",4,Yes,7,Positive
494,Books,Biography,U1570,,"Not worth the money, poor quality Biography.",1,No,19,Negative
1439,Home & Kitchen,Vacuum Cleaner,,Okay,I use this Vacuum Cleaner every day and it’s fantastic.,1,Yes,10,Negative
1252,Home & Kitchen,Microwave Oven,U1880,Terrible,I use this Microwave Oven every day and it’s fantastic.,2,No,0,
143,Books,Children's Story,U4041,Not good,"The Children's Story is amazing, I love it!",1,Yes,29,Negative
178,Books,Cookbook,U6572,Great!,"The Cookbook works okay, but could be better.",3,Yes,20,Neutral
287,Beauty,Hair Dryer,U5613,,Exceeded my expectations! Great Hair Dryer.,2,No,34,Negative
1253,Books,Biography,U1531,Great!,Really disappointed with the Biography.,1,Yes,,Negative
861,Home & Kitchen,Microwave Oven,U3548,Loved it,"Not worth the money, poor quality Microwave Oven.",4,Yes,5,Positive
799,Fashion,T-shirt,U6188,Loved it,Exceeded my expectations! Great T-shirt.,4,Yes,7,Positive
1036,Beauty,Shampoo,U9777,Terrible,"The Shampoo is amazing, I love it!",2,No,43,Negative
1082,Books,Cookbook,U9056,Terrible,Exceeded my expectations! Great Cookbook.,1,No,27,Negative
741,Electronics,Laptop,U7430,Terrible,I use this Laptop every day and it’s fantastic.,2,No,,Negative
1242,Electronics,Laptop,U6576,Terrible,I use this Laptop every day and it’s fantastic.,1,,47,Negative
89,Books,Biography,U6005,,"The Biography is amazing, I love it!",3,No,28,Neutral
1164,Books,Children's Story,U4565,Great!,The Children's Story stopped working after a week.,2,No,33,Negative
1311,Home & Kitchen,Blender,,Terrible,Exceeded my expectations! Great Blender.,5,Yes,11,Positive
1030,Home & Kitchen,Coffee Maker,U7710,Not good,The Coffee Maker stopped working after a week.,5,No,46,Positive
129,Home & Kitchen,Microwave Oven,U3109,Great!,"Not worth the money, poor quality Microwave Oven.",3,No,14,Neutral
,Home & Kitchen,Microwave Oven,U4703,Loved it,"The Microwave Oven works okay, but could be better.",2,Yes,44,Negative
968,Electronics,Wireless Headphones,U1441,,I use this Wireless Headphones every day and it’s fantastic.,2,No,29,Negative
649,Home & Kitchen,Coffee Maker,U3684,Great!,"Not worth the money, poor quality Coffee Maker.",2,Yes,48,
112,Beauty,Face Cream,U2467,Loved it,I use this Face Cream every day and it’s fantastic.,2,Yes,9,Negative
386,Beauty,Perfume,U9823,Loved it,"The Perfume is amazing, I love it!",1,Yes,45,Negative
248,Fashion,T-shirt,U5592,Okay,I use this T-shirt every day and it’s fantastic.,2,Yes,3,Negative
878,Electronics,Smartphone,U1388,Okay,Really disappointed with the Smartphone.,4,No,39,Positive
925,Home & Kitchen,Air Fryer,U2920,Great!,The Air Fryer stopped working after a week.,4,No,10,Positive
268,Beauty,Lipstick,U9608,Okay,"The Lipstick works okay, but could be better.",5,No,44,Positive
1074,Beauty,Hair Dryer,U9338,Terrible,"Not worth the money, poor quality Hair Dryer.",3,Yes,8,Neutral
26,Beauty,Face Cream,U7498,Loved it,"The Face Cream works okay, but could be better.",5,Yes,46,Positive
717,Home & Kitchen,Microwave Oven,U2645,Great!,I use this Microwave Oven every day and it’s fantastic.,1,Yes,35,Negative
1378,Electronics,Bluetooth Speaker,U5417,Okay,"The Bluetooth Speaker is amazing, I love it!",1,Yes,12,Negative
1361,Beauty,Hair Dryer,U4476,Terrible,Really disappointed with the Hair Dryer.,2,Yes,17,Negative
,Fashion,Jeans,U1079,Great!,,1,Yes,30,Negative
1232,Books,,U7225,Terrible,"The Self-help Book works okay, but could be better.",5,Yes,42,Positive
722,Books,Fiction Novel,U6906,Great!,Really disappointed with the Fiction Novel.,1,,14,Negative
992,Fashion,Jeans,U2745,Okay,Really disappointed with the Jeans.,2,Yes,32,Negative
1072,Books,Cookbook,U5333,Loved it,Really disappointed with the Cookbook.,1,No,29,Negative
903,Home & Kitchen,,U8910,Not good,Decent Coffee Maker for the price point.,,No,29,Negative
1496,Fashion,Sneakers,U5031,Loved it,"Not worth the money, poor quality Sneakers.",4,Yes,39,Positive
304,,Hair Dryer,U8308,Great!,"The Hair Dryer is amazing, I love it!",2,Yes,2,Negative
1275,Home & Kitchen,,U7680,Great!,Decent Microwave Oven for the price point.,4,,12,Positive
977,Books,,U4444,Okay,I use this Self-help Book every day and it’s fantastic.,1,Yes,3,Negative
,Books,Children's Story,U9633,Loved it,I use this Children's Story every day and it’s fantastic.,4,Yes,47,Positive
80,Fashion,T-shirt,U9460,Okay,I use this T-shirt every day and it’s fantastic.,2,Yes,37,Negative
328,Home & Kitchen,Coffee Maker,,Not good,,1,No,41,Negative
927,Beauty,Hair Dryer,U9694,Not good,"The Hair Dryer works okay, but could be better.",2,No,27,Negative
1155,Beauty,Hair Dryer,U8171,Okay,I use this Hair Dryer every day and it’s fantastic.,5,Yes,48,Positive
628,Fashion,,U8619,Okay,"The Handbag works okay, but could be better.",1,Yes,50,Negative
567,Beauty,Shampoo,U9556,Great!,The Shampoo stopped working after a week.,2,Yes,32,Negative
135,Fashion,T-shirt,U2633,Terrible,The T-shirt stopped working after a week.,5,No,22,Positive
1142,Fashion,Jacket,U4685,Great!,"The Jacket is amazing, I love it!",1,Yes,28,Negative
,Beauty,Hair Dryer,U4174,Loved it,"Not worth the money, poor quality Hair Dryer.",,Yes,34,Positive
1127,Fashion,Sneakers,U3231,Not good,Decent Sneakers for the price point.,3,Yes,23,Neutral
1202,Beauty,Shampoo,U1866,Loved it,"The Shampoo is amazing, I love it!",1,No,47,Negative
693,Electronics,Wireless Headphones,U8166,Okay,Decent Wireless Headphones for the price point.,5,Yes,14,Positive
1241,Fashion,T-shirt,U9955,Not good,"The T-shirt is amazing, I love it!",4,Yes,35,Positive
1389,Books,Self-help Book,U5789,Okay,Really disappointed with the Self-help Book.,3,Yes,41,Neutral
285,Fashion,Jacket,U8248,Great!,"Not worth the money, poor quality Jacket.",1,No,41,Negative
,Electronics,Smartwatch,U7486,Loved it,I use this Smartwatch every day and it’s fantastic.,,Yes,20,Negative
34,Fashion,Jeans,U9069,Terrible,Really disappointed with the Jeans.,3,No,17,Neutral
380,Beauty,,U1911,Terrible,"Not worth the money, poor quality Lipstick.",4,Yes,31,Positive
618,Books,Biography,U2041,Loved it,"The Biography works okay, but could be better.",3,No,47,Neutral
789,Fashion,Jacket,U6387,Terrible,The Jacket stopped working after a week.,3,,0,Neutral
761,Home & Kitchen,Microwave Oven,U7289,,"The Microwave Oven works okay, but could be better.",3,Yes,21,Neutral
665,,Shampoo,U1783,Loved it,Really disappointed with the Shampoo.,3,Yes,3,Neutral
520,Electronics,Laptop,U4456,Great!,Exceeded my expectations! Great Laptop.,5,Yes,18,Positive
548,Books,,U2914,Great!,I use this Fiction Novel every day and it’s fantastic.,4,No,20,Positive
390,Home & Kitchen,Air Fryer,U8836,Great!,"The Air Fryer works okay, but could be better.",5,No,0,Positive
1364,Books,Biography,U8128,Terrible,I use this Biography every day and it’s fantastic.,,Yes,10,Positive
1352,Fashion,Sneakers,U9006,Loved it,Exceeded my expectations! Great Sneakers.,3,No,35,Neutral
127,Books,Self-help Book,U4041,Not good,Exceeded my expectations! Great Self-help Book.,2,Yes,45,Negative
1166,Electronics,Smartphone,U3780,,The Smartphone stopped working after a week.,2,Yes,16,Negative
425,Fashion,Handbag,U8152,Okay,Decent Handbag for the price point.,2,Yes,9,Negative
,Electronics,,U3340,Loved it,"Not worth the money, poor quality Bluetooth Speaker.",3,Yes,,Neutral
236,Fashion,Jacket,U5845,Terrible,Exceeded my expectations! Great Jacket.,2,No,22,Negative
706,Books,Biography,U9624,Okay,"The Biography is amazing, I love it!",2,No,,Negative
1041,Home & Kitchen,Air Fryer,U4912,Okay,,3,No,6,Neutral
